id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
1;Kedy je začiatok akademického roku?;Kedy začína akademický rok?;Od kedy sa chodí  do školy?;Kedy je termín začiatku školského roka?;Kedy začína školský rok?;Odpoveď je možné nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E
2;Kedy je koniec akademického roku?;Kedy končí akademický rok?;Do kedy sa chodí do školy?;Kedy je termín konca školského roka?;Kedy končí školský rok?;Odpoveď je možné nájsť na linku: https://www.fri.uniza.sk/calendar?year=2022&section=E
3;Aké akcie je možné nájsť na FRI počas roku?;Sú na FRI študentské akcie?;Aké sú možnosti kultúrneho vyžitia študentov?;Aké akcie sa dejú na FRI?;Aké sú voľnočasové aktivity na FRI? ;Ako študent na FRI máte prístup k mnohým študentským akciam ako napríklad Fričkovica, FRI ples, FRI punč a mnoho ďalších.
4;Čo je to FRIčkovica?;Čo za podujatie je FRIčkovica?;Čo sa robí na FRIčkovici?;Ako prebieha fričkovica?;Čo sa deje na fričkovici?;Jesenné podujatie kde je občerstvenie a ako aj možnosť sa porozprávať so spolužiakmi a inými zaujmavimi ľudmi
5;Čo je to IT Trhovisko?;Čo za podujatie je IT Trhovisko?;Čo sa robí na IT Trhovisku?;Ako prebieha it trhovisko?;Čo sa deje na it trhovisku?;Prezentácia firiem ktoré by mali záujem o budúcu spoluprácu so študentami.
6;Čo je to beh Jeana de Mijona?;Čo za podujatie je beh Jeana de Mijona?;Čo sa robí na behu Jeana de Mijona?;Ako prebieha beh Jeana de Mijona?;Čo sa deje na behu Jeana de Mijona??;Je to súťaž kde podľa indícií hľadáš dané podniky. Kto sa ako prvý vráti na fakultu vyhráva.
7;Kedy je deň otvorených dverí?;Kedy sa koná Deň otvorených dverí? ;Kedy je DOD?;Kedy sa koná DOD?;Kedy je termín dňa otvorených dverí?;Ďen otverných dveri v roku 2021/22 bol dňa 17.2.2022, dátum pre rok 2022/23 ešte nebol rozhodnutý.
8;Čo je to FRIFest?;Čo za podujatie je FRI fest?;Čo sa robí na FRI feste?;Ako prebieha frifest?;Čo sa deje na frifeste?;Jarné podujatie kde je občerstvenie a ako aj možnosť sa porozprávať so spolužiakmi a inými zaujmavimi ľudmi
9;Má FRI deň otvorených dverí?;Má FRI DOD?;Koná sa na FRI DOD?;Býva na fakulte deň otvorených dverí?;Koná sa na fakulte deň otvorených dverí?;Áno.
10;Čo je to panel story?;Čo za podujatie je panel story?;Čo sa robí na panel story?;Ako prebieha panel story?;Čo sa deje na panel strory?;Prezentácia študentských projektov pre verejnosť.
11;Ako sa dostanem na letnú školu programovania?;Ako sa dá zúčasniť letnej školy programovania?;Čo musím splníť pre účasť na letnej škole programovania?;;;Treba si podať prihlášku.
12;Chodí sa vrámci fakulty na spoločný výlet?;Je možnosť ísť na spoločný výlet vrámci fakulty?;Bývajú na FRI výlety?;Sú na fakulte spoločné výlety?;Dá sa ísť na FRI na výlet?;Áno.
13;Kedy je FriFest?;Kedy sa koná FriFest?;Kedy bude FRI fest?;;;Každý rok sa tento dátum mení, pre bližšie infomácie sa pozri na FRI stránku s aktualitami. Link je tu: https://www.fri.uniza.sk.
14;Kedy je beh Jeana de Mijona?;Kedy sa koná beh Jeana de Mijona?;Kedy bude beh Jeana de Mijona?;;;Každý rok sa tento dátum mení, pre bližšie infomácie sa pozri na FRI stránku s aktualitami. Link je tu: https://www.fri.uniza.sk.
15;Kedy sa koná FRIčkovica?;Kedy je FRIčkovica?;Kedy bude FRIčkovica?;;;Každý rok sa tento dátum mení, pre bližšie infomácie sa pozri na FRI stránku s aktualitami. Link je tu: https://www.fri.uniza.sk.
16;Čo je to FRI ples?;Čo za podujatie je FRI ples?;Čo sa robí na FRI plese?;Ako prebieha ples?;Čo sa deje plese fakulty?;Ples organizovaný fakultou FRI pre študentov.
17;Kedy sa koná FRI ples?;Kedy je FRI ples?;Kedy bude FRI ples?;;;Každý rok sa tento dátum mení, pre bližšie infomácie sa pozri na FRI stránku s aktualitami. Link je tu: https://www.fri.uniza.sk.
18;Kto je dekan?;Aké je meno dekana fakulty?;Ako sa volá dekan?;Meno dekana?;Priezvisko dekana?;doc. Ing. Emil Kršák, PhD
19;Kto je prodekan pre vzdelávanie?;Aké je meno prodekana pre vzdelávanie?;Ako sa volá prodekan pre vzdelávanie?;Meno prodekana pre vzdelávanie?;Priezvisko prodekana pre vzdelávanie?;doc. Ing. Viliam Lendel, PhD
20;Kto je prodekan pre vedu a výskum?;Aké je meno prodekana pre vedu a výskum?;Ako sa volá prodekan pre vedu a výskum?;Kto má na starosti vedu a výskum?;Meno prodekana pre vedu a výskum?;doc. Ing. Michal Koháni, PhD
21;Kto je prodekan pre zahraničné vzťahy?;Aké je meno prodekana pre zahraničné vzťahy?;Ako sa volá prodekan pre zahraničné vzťahy?;Kto má na starosti zahraničné vzťahy?;Meno prodekana pre zahraničné vzťahy?;doc. Ing. Peter Márton, PhD
22;Ako je možné zapojiť sa do programu Erasmus? ;Ako sa viem zapojiť do programu Erasmus?;Ako sa môžem zúčasniť programu ERAZMUS?;;;Podáte si prihlášku. Pre bližšie informácie kontaktujete pána Petra Mártona.
23;Je možné sa na FRI zapojiť do programu Erasmus? ;Dá sa ísť na ERAZMUS?;Môžem ísť na ERAZMUS?;Je možné ísť na erazmus?;Je tu možnosť zúčastniť sa na erazme?;Áno, bližšie informácie je možné nájsť na linku: https://www.fri.uniza.sk/stranka/aktualne-informacie-erasmus
24;Koho mám kontaktovať ak chcem vycestovať v rámci študentského programu erazmus?;Kto mi pomôže s ERAZMUS+?;Kto má na starosti ERAZMUS?;Za kým ísť kvôli erazmu?;Kto mi dá informácie o erazme?;doc. Ing. Peter Márton, PhD
25;Aké možnosti Erasmu ponúka FRI?;Aké sú možnosti ERAZMU?;Aké sú možnosti zahraničných stáží?;Ako funguje erazmus?;Kedy sa dá ísť na erazmus?;FRI ponúka možnosť íst viac krát na erasmus ale celková doba na erasme nemôže presiahnúť 1 rok. 
26;Kde sa nachádzajú internáty?;Kde sú internáty?;Kde sú intráky?;Kde nájdem internát?;Kde sa nachádzajú intráky?;Adresa pre internát velký diel: Žilinská univerzita, Ubytovacie Zariadenie Veľký Diel Vysokoškolákov 20 010 08 Žilina. Adresa pre internát hliny: ulica, Hlinská, 010 01 Žilina.
27;Kde dostanem preukaz študenta?;Kde dostanem ISIC?;Kde mi vydajú ISIC?;Kde mi vydajú preukaz študenta?;;Preukaz si môžete vyzdvihnúť na rektoráte.
28;Kedy dostanem preukaz študenta?;Kedy dostanem ISIC?;Kedy mi dajú isic?;Termín kedy mi dajú isic?;Kedy si ísť po isic?;Od septembra je potrebné si zaplatiť za ISIC a následne si ho budete môcť vyzdvihnúť
29;Aký vysoký je poplatok za preukaz študenta?;Koľko stojí ISIC?;Koľko stojí preukaz študenta?;Koľko sa platí za ISIC?;Koľko sa platí za preukaz študenta?;Cena záleží od požiadaviek študenta.
30;Je možné používať kartu ISIC aj v MHD?;Môžem cestovať s ISIC aj v MHD?;Je možné používať preukaz študenta aj v MHD?;Môžem cestovať s preukazom študenta aj v MHD?;;Do veku 26 je možné využívať ISIC v MHD.
31;Je možné používať kartu ISIC v SAD?;Môžem cestovať s ISIC aj v SAD?;Je možné používať kartu preukaz študenta v SAD?;Môžem cestovať s preukazom študenta aj v SAD?;;Do veku 26 je možné využívať ISIC v SAD.
32;Je možné používať kartu ISIC vo vlaku?;Môžem cestovať s ISIC aj vlakom?;Je možné používať kartu preukaz študenta vo vlaku?;Môžem cestovať s preukazom študenta aj vlakom?;;Do veku 26 je možné využívať ISIC vo vlaku.
33;Kde je možné znovu aktivovať preukaz ISIC?;Kde si môžem aktivovať ISIC kartu?;Kde si môžem aktivovať preukaz študenta?;Kde sa aktivuje isic?;Kde sa akticuje preukaz študenta?;Na stránke e-many a následne na rektoráte.
34;Je možné znovu aktivovať preukat ISIC?;Môžem si predľžiť  platnosť ISIC?;Je možné znovu aktivovať preukat študenta?;Môžem si znova aktivovať isic?;Smiem si predĺžiť isic?;Áno.
35;Kde si môžem predĺžiť ISIC kartu? ;Kde viem predĺžiť ISIC?;Kde mi predĺžia platnosť ISIC?;Na akom mieste sa predlžuje isic?;Kde sa predlžuje preukaz študenta?;Na stránke e-many a následne na rektoráte.
36;Pomýlil som sa pri vypisovaní ISIC údajov, je možné ich zmeniť?;Viem zmeniť údaje, ktoré som zadal do ISIC? ;Zmením údaje na ISIC?;Môžem si zmeniť údaje na isicu?;Dajú sa eštee zmeniť údaje na isicu?;Áno. 
37;Je možné chodiť na fri aj bez ISIC karty?;Je možné chodiť na fri aj bez preukazu študenta?;Pustia ma na FRI aj bez preukazu študenta?;Pustia ma na FRI aj bez  ISIC?;Musím mať ISIC?;Nepravdepodobne.
38;Ak nemám predĺženú ISIC kartu, je možné chodiť do školy?;Ak nemám predĺžený preukaz študenta, je možné chodiť do školy?;Ak nemám predĺženú ISIC kartu, pustia ma do školy?;Ak nemám predĺžený preukaz študenta, pustia ma do školy?;Smiem ísť do školy bez predĺženia isicu?;Mal by si si ísť predĺžiť ISIC inak nebudeš mať prístup k funkciam ISICu.
39;Kde si vybavím ISIC?;Kde si vybavím preukaz študenta?;Kde vydávajú ISIC?;Kde vydávajú preukaz študenta?;Kde mi dajú isic?;Na stránke e-many a následne na rektoráte.
40;Do kedy je možné predĺžiť si ISIC?;Do kedy je možné predĺžiť preukaz študenta?;Posledný termín do kedy si viem predĺžiť isic?;Posledný dátum predĺženie isicu?;Do kedy sa predlžuje isic?;Do konca školského roka.
41;Aké katedry sa nachádzajú na FRI?;Aké ma FRI katedry?;FRI katedry?;Z akých katedier je fakulta?;Aké katedry sú na fakulte?;Informačných sietí, Informatiky, Makro a microekonomiky, Manažérskych teórií, Matematických metód a operačnej analýzy, Softvérových technológií a Technickej kybernetiky.
42;Kde nájdem katedru informatiky?;Kde je katedra informatiky?;Kde sa nachádza katedra informatiky?;Kde je KI?;Kde nájdem KI?;Vedúceho prof. Vitaly Levashenko, PhD. nájdeš v miestnosti RA204, v danej blízkosti je celá katedra.
43;Kde nájdem katedru informačných sietí?;Kde je katedra informačných sietí?;Kde sa nachádza katedra informačných sietí?;Kde je KIS?;Kde nájdem KIS?;Vedúceho doc. Pavel Segeč, PhD. nájdeš v miestnosti RB354, v danej blízkosti je celá katedra.
